mode,size,total_rpcs,kops_per_second,tx_mbps,rx_mbps,avg_rtt_us,p50_rtt_us,p95_rtt_us,p99_rtt_us
tcp,64,389600,48.71,23.78,23.78,20.44,20.2,21.72,23.48
tcp,256,381553,47.7,93.17,93.17,20.87,20.52,23.91,26.44
tcp,1024,372819,46.61,364.15,364.15,21.36,21.1,23.05,23.88
tcp,2048,332554,41.58,649.65,649.65,23.96,23.46,27.63,31.35
tcp,4096,323238,40.41,1262.9,1262.9,24.65,24.23,29.44,31.84
ktls-sw,64,335608,41.96,20.49,20.49,23.75,23.53,25.05,26.17
ktls-sw,256,328176,41.03,80.14,80.14,24.28,23.94,25.47,27.12
ktls-sw,1024,320613,40.08,313.16,313.16,24.86,24.74,25.5,26.83
ktls-sw,2048,297542,37.2,581.25,581.25,26.79,26.02,29.27,31.16
ktls-sw,4096,239276,29.92,934.86,934.86,33.33,32.85,35.14,41.26
homa,64,470457,58.82,28.72,28.72,16.95,16.75,18.77,21.68
homa,256,475352,59.43,116.08,116.08,16.78,16.61,18.57,21.14
homa,1024,455751,56.98,445.16,445.16,17.5,17.3,19.45,21.81
homa,2048,349777,43.73,683.29,683.29,22.81,22.39,25.01,27.35
homa,4096,327246,40.91,1278.57,1278.57,24.38,24.11,26.58,29.26
smt-sw,64,419733,52.48,25.62,25.62,19,18.89,20.75,22.4
smt-sw,256,415790,51.98,101.53,101.53,19.18,19,21.48,23.55
smt-sw,1024,388866,48.62,379.83,379.83,20.52,20.34,22.39,24.49
smt-sw,2048,296681,37.09,579.57,579.57,26.91,26.52,29.25,30.91
smt-sw,4096,269037,33.64,1051.15,1051.15,29.67,29.35,32.73,34.72
smt-sw-nocrypto,64,470715,58.85,28.74,28.74,16.94,16.72,18.77,21.36
smt-sw-nocrypto,256,468231,58.54,114.34,114.34,17.03,16.9,18.77,21.12
smt-sw-nocrypto,1024,449722,56.23,439.27,439.27,17.73,17.48,20.06,22.7
smt-sw-nocrypto,2048,341402,42.68,666.94,666.94,23.38,22.84,25.74,28.04
smt-sw-nocrypto,4096,322622,40.34,1260.5,1260.5,24.74,24.46,27.14,29.42
